count.C1,count.C2,count.C3,count.T1,count.T2,count.T3
5379,4047,4098,11142,11548,9997
233,223,166,284,259,305
57,99,77,107,213,176
2606,2247,1927,4375,4606,4076
4437,4054,3471,3165,2929,2986
2398,2245,1841,3355,2734,3016
0,4,0,0,0,0
2500,2281,1911,2847,2664,2801
2692,2089,2073,3271,4428,3143
8705,6934,7121,6566,6429,5860
101,98,88,297,239,157
2920,2133,1967,3050,3720,3064
0,0,4,0,0,0
2056,1693,1535,2848,2948,2460
0,4,3,17,13,10
1004,751,717,1063,1160,1036
275,307,344,275,238,282
2405,2165,1890,2097,1897,2126
4713,3449,3344,5666,6398,5503
2289,2014,1857,2934,2878,2870
4665,3912,3630,7461,8174,7308
20008,16462,14506,15621,17019,15583
865,882,699,640,576,635
1035,962,910,875,898,999
20950,16735,15502,16583,17174,16546
633,481,537,637,706,578
3793,3448,2955,4835,5740,4726
1594,1296,1299,1509,1284,1402
13481,12023,10209,10944,11789,10828
11890,9643,9396,14635,14705,13372
1931,1570,1276,2472,3484,2488
9302,6505,6306,8369,9505,8075
10655,8623,8601,10949,11227,9946
2946,2248,2228,5899,7699,5919
4876,3634,3369,5240,6233,5824
1218,915,1080,1306,1685,1225
9517,6739,7465,6627,8540,6194
2667,2443,1958,3587,3955,3578
20743,15525,14014,15869,17680,14481
211,323,350,336,335,276
177,195,133,151,168,114
4896,4028,3581,4678,4822,4367
2899,2275,2242,2919,3528,2765
2273,2019,2171,3616,4451,3794
26303,22116,20713,18470,17372,16555
3792,2753,2927,3351,4645,3448
931,825,781,1638,1984,1727
7441,5688,5400,7157,8191,7204
1743,1340,1185,2590,3035,2561
4722,4059,3647,6296,6800,6370
76,116,25,110,115,89
478,440,436,534,463,550
34,10,16,17,31,66
9932,8028,7350,6456,6800,5993
12102,10811,9402,9761,10291,9249
6880,5495,5533,8122,9790,8036
8041,6793,6257,7762,7855,7295
506302,398507,362143,386144,382732,349980
2860,2110,2169,3292,2463,3408
1321,911,1129,1902,2377,2040
1855,1608,1544,1764,1858,1683
85150,72317,69485,71217,72037,64651
291,247,296,851,756,800
1345,1114,1046,1665,1543,1714
1095,945,854,1059,1139,945
1629,1294,1144,2335,2420,1926
3209,2784,2578,3221,3030,2875
890,757,650,957,829,856
13,9,0,0,14,27
2420,2080,1929,4319,4986,3925
4569,4149,3373,3437,3725,3225
143,177,138,115,86,61
1071,664,836,1503,1816,1794
12142,10570,9008,16383,17624,16375
3169,2537,2359,3622,4313,3404
7782,6755,6697,9316,8652,8271
12921,10472,9814,10486,10688,10092
10271,8756,7772,10818,10761,9711
1455,1025,1082,1741,2120,1843
10261,7526,7100,8011,9195,7916
9320,6573,6451,7952,10055,8295
9334,8031,6727,9725,10413,10007
94,124,116,115,119,84
900,731,643,2253,2615,2297
6837,4873,5225,6782,8159,6859
2575,2050,2017,2643,2908,2352
2581,2052,2184,3723,3575,3207
4790,3549,3480,3016,2888,2829
26,15,14,32,20,13
295,166,202,336,512,416
82851,71589,65500,69149,69795,65603
6200,4516,4713,3087,3599,2948
6292,4897,4594,3276,3308,3249
1526,1165,1174,1851,2387,1893
20268,16659,14763,38128,39615,36410
6580,6017,5350,5671,5257,5271
1247,1019,812,1642,2120,1820
2756,2327,2089,2252,2205,2079
5282,4933,4068,5325,4741,4427
874,750,663,1030,1335,1027
5786,4845,4530,3594,3921,3349
2513,2116,2026,3560,3545,3435
13543,11412,10486,8685,9123,8410
8631,7627,7131,4783,5061,4257
35,31,60,95,101,79
6703,5172,4729,7361,7809,6967
6123,4006,4710,6984,9096,7647
3671,3130,3042,5941,5249,5467
7443,6356,6107,6346,6043,5686
3220,2610,2636,4316,5060,4466
3161,2305,2258,5943,6900,5913
2242,1755,1722,1213,1094,1087
10387,9193,7884,5001,5539,4720
59716,48531,53649,56016,66216,55932
451,348,390,596,774,614
1288,1195,1059,1953,2219,1962
1292,950,903,1336,1608,1164
5111,4110,4252,4751,4804,4248
0,4,8,8,8,8
190,136,129,536,564,461
5118,3747,3848,4041,4721,4005
26615,22285,21585,20720,20205,19084
1780,1586,1429,1980,2288,1884
169,117,110,174,215,152
3056,2884,2273,4577,5159,4524
2786,2050,2070,3856,4323,3788
54952,50977,47656,43826,45639,38592
7177,5170,5303,8838,10856,9440
3132,2382,2201,3420,4078,3460
6394,5010,4739,5900,6573,5917
123,156,127,222,261,210
0,46,30,51,33,38
2479,1800,1784,2731,3575,2831
41,21,12,95,55,69
0,0,0,0,4,0
3447,2779,2485,4308,4505,4271
4002,3233,2982,4531,4579,4298
1762,1615,1721,1416,1451,1174
19018,16666,15829,16850,17314,15827
2332,1891,1681,3058,3315,2969
1607,1266,1226,1630,1821,1719
2041,2012,1656,1487,1590,1617
1933,1579,1453,1477,1395,1217
503,541,500,662,580,545
1158,905,781,1310,1602,1326
3253,2406,2117,3342,4074,3032
3695,2589,2684,4805,5496,5024
6292,4546,4758,8451,8601,7260
724,398,494,195,200,169
8970,7979,7313,7411,7277,6939
66266,55567,54228,55440,51975,53104
337,400,318,191,133,152
4134,3258,3077,3194,3028,2884
17,4,4,12,4,0
0,4,18,8,0,0
5069,3696,3637,5271,6812,5097
293,187,245,322,339,334
3750,2873,2605,4956,6840,5733
15283,12560,12931,15050,14452,13543
29418,22475,22636,36485,42361,36366
0,5,13,8,24,0
5598,4616,4220,4394,4468,4126
0,31,0,0,0,0
3841,3323,2841,3568,3909,3584
3733,2498,3042,3844,4713,3740
2035,1828,1751,2231,2593,2249
3644,3108,3001,3099,3034,2779
5757,4739,4682,4198,3832,3746
618,505,596,919,809,795
7616,6553,6049,5563,4888,4915
109,46,63,58,95,79
3823,2785,2915,3871,4072,3818
1050,697,642,1366,1932,1597
9345,7004,6721,11956,14582,11439
8,14,26,57,52,37
7647,6041,5688,8129,8048,8216
3228,3006,2499,3497,3764,3123
40809,36666,36374,35011,32833,32250
1309,1269,1007,1183,1325,1227
